Q9K801	A5I0I2	95	1.179E-04	0.998	5.415E-01	0.125	3.695E-01
Q9K801	Q7VNV1	88	2.648E-04	0.995	5.294E-01	0.093	3.674E-01
Q9K801	Q3IF68	78	7.629E-04	0.978	5.097E-01	0.115	3.598E-01
Q9K801	A0A0K1SC59	70	1.041E-03	0.933	4.647E-01	0.135	3.351E-01
Q9K801	Q8DLN9	62	3.193E-03	0.817	4.440E-01	0.091	3.460E-01
Q9K801	A8Z5Y2	56	6.739E-03	0.663	4.382E-01	0.106	3.385E-01
Q9K801	E9DFH0	54	5.591E-03	0.601	4.022E-01	0.098	3.269E-01
Q9K801	Q764S0	53	9.790E-03	0.569	4.415E-01	0.095	3.224E-01
Q9K801	A3NML2	53	8.644E-03	0.569	4.480E-01	0.121	3.085E-01
Q9K801	A2QKT4	52	6.739E-03	0.537	4.107E-01	0.118	3.031E-01
Q9K801	B9L2J0	43	6.335E-02	0.277	4.929E-01	0.093	3.102E-01
Q9K801	A8GD62	41	1.941E-02	0.233	3.171E-01	0.115	3.098E-01
Q9K801	P46245	40	6.335E-02	0.214	4.329E-01	0.105	3.024E-01
Q9K801	P44303	40	9.794E-02	0.214	4.586E-01	0.081	3.240E-01
Q9K801	Q6LP67	40	1.714E-02	0.214	3.186E-01	0.108	2.921E-01
Q9K801	A0B3G1	38	1.824E-02	0.179	3.060E-01	0.125	2.816E-01
Q9K801	A4XAK7	33	6.335E-02	0.116	3.189E-01	0.105	2.779E-01
Q9K801	B2GBV5	32	5.256E-02	0.106	3.313E-01	0.109	2.455E-01
Q9K801	P30770	31	5.593E-02	0.098	2.637E-01	0.106	2.871E-01
Q9K801	O66440	30	8.126E-02	0.090	3.083E-01	0.104	2.544E-01
Q9K801	Q7EXZ4	27	6.337E-01	0.069	4.323E-01	0.112	3.049E-01
Q9K801	O07345	26	1.715E-01	0.063	2.921E-01	0.114	2.520E-01
Q9K801	A0A5B8Z1N3	24	2.650E-02	0.051	1.695E-01	0.115	2.317E-01
Q9K801	O87172	24	2.650E-02	0.051	1.553E-01	0.124	2.346E-01
Q9K801	O64882	24	5.596E-01	0.051	3.591E-01	0.103	2.740E-01
Q9K801	Q8GXT2	24	6.744E-01	0.051	3.559E-01	0.092	3.056E-01
Q9K801	Q9SJE1	24	2.491E-01	0.051	2.720E-01	0.130	2.693E-01
Q9K801	P94552	23	1.715E-01	0.045	2.533E-01	0.084	2.366E-01
Q9K801	A4IPP2	22	2.823E+00	0.040	5.602E-01	0.097	3.447E-01
Q9K801	P14843	22	2.067E-01	0.040	2.221E-01	0.070	2.680E-01
